Error History (08/23/2023 00:00-08/24/2023 23:59 Area:ASRS Warehouse)
Date/Time, Control WCS, Control CELL, Machine, Position, Transport Data Total, Error Code, Error Name, Transfer Equipment #, Cycle, Destination, Development #, Image Index #, Additional Info 1, Additional Info 2, Additional Info 3, Transport ID, Transport ID Details 1, Transport ID Details 2, Request ID, Data Type, Transport Type, Source Location, Source Transport Details, Source Display Info, Source Merge Info, Destination Location, Sub-Destination Location, Destination Transport Details, Destination Display Info, Destination Divert Info, Destination Load Forced Removal Permission, Final Destination Location, Transport Direction, Group #, Group Control Key, Load Size Info (Height), Load Size Info (Width), Load Size Info (Length), Load Size Info (Other), Barcode Data, Operation #, Control Info, Current Position Device #, Transport Key, Scheduled Location (Primary), Scheduled Location (Secondary), Determined Location #, Secondary Determined Location # 1, Secondary Determined Location # 2, Secondary Determined Location # 3, Secondary Determined Location # 4, Destination Location #, Determined Destination Outcome, Load Status, Final Load Status, Transport Starting Location, Transport Start Date/Time, Control Load Height, Pulse Value, Development #, Load Width, Load Length, Load Height, Load Weight, Barcode Sorting Outcome, Transport Data Control Info, Load Size Check Flag, Divert Control Info, Barcode Sorting Info, IJP Print Info, Group #, Load Status 2, Tracking Control Info Index, WCS Operation Management #1, WCS Operation Management #2, Operation Type, BCR # (for DB), Divert Control Info (for DB)
08/24/2023 18:28:53,AGCA01,-,AA0501,,1,1217771,Protrusion detection error,--,Standby,,-,-,-,-,-,1360374,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000002798,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 18:28:53,AGCA01,-,A01017,,1,1217771,Protrusion detection error,--,Waiting for Pickup Completion,,-,-,-,-,-,1360374,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000002798,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 18:28:53,AGCA01,-,A01016,,1,1217771,Protrusion detection error,--,Standby,,-,-,-,-,-,1360374,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000002798,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 18:28:53,AGCA01,-,A01015,,1,1217771,Protrusion detection error,--,Standby,,-,-,-,-,-,1360374,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000002798,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 17:27:52,AGCA01,-,A01003,,1,1032005,Load presence error 2,--,Release On,,-,-,-,-,-,1360281,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 14:21:35,AGCA01,-,SRA002,0,1,1113221,SRM main unit communication error,Fork 1,Deposit,R-SRA001-006-010-009,-,-,-,-,-,1359973,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000001038,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 14:21:31,AGCA01,-,SRA002,0,1,1113221,SRM main unit communication error,Fork 1,Deposit,R-SRA001-006-010-009,-,-,-,-,-,1359973,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000001038,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 14:20:57,AGCA01,-,SRA002,0,1,1115004,Load profile error: Stopped,Fork 1,Deposit,R-SRA001-006-010-009,-,-,-,-,-,1359973,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000001038,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 14:19:33,AGCA01,-,SRA002,0,1,1115004,Load profile error: Stopped,Fork 1,Deposit,R-SRA001-006-010-009,-,-,-,-,-,1359973,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000001038,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
08/24/2023 14:19:31,AGCA01,-,SRA002,0,1,1115004,Load profile error: Stopped,Fork 1,Deposit,R-SRA001-006-010-009,-,-,-,-,-,1359973,1,,,Online Data,,,,,,,,,,,,,,0,,0 ,0 ,0 ,0 ,8000001038,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
